AM,SEP,CL,AC,RC,TeachingScore,PerformanceGrade,Description
30,30,30,50,95,47.5182101977107,54.7018895662032,"Strong research, weak teaching"
95,95,95,50,20,65,66.5,"Strong teaching, weak research"
0,0,0,0,0,20,25,"All zeros"
100,100,100,100,100,85,95,"All 100s"
50,50,50,50,50,49.8804408166021,57.9358373109431,"All 50s"
100,0,0,0,100,65,37.5,"Extreme AM+RC"
0,100,100,100,0,45,89,"Extreme SEP/CL/AC"
65,65,65,65,65,65,79.2254187403317,"Boundary 65s"
45,45,45,45,45,44.7085949764521,52.8728753417954,"Boundary 45s"
20,80,40,60,70,45.1590598180186,75.8859667261436,"Mixed mid-range"
