AM,AC,SEP,RC,CL,TeachingScore,PerformanceGrade,PG_L,PG_R
66.926341594061,85.2445739901194,79.5599830538599,60,40,62.2433127026436,77.7599755059495,70.8259088783346,84.6940421335643
88.0084823644436,49.8195641519842,79.2060481429783,100,75,80.263882871786,89,83,95
89.6397969520881,80.7075934683477,73.5777280807982,55,30,64.5864475160629,75.0458935346296,68.0865210680892,82.0052660011701
80.0608537856882,56.9994138547894,73.6087554790534,100,45,65.3645759045842,89,83,95
60.0585885507757,78.6473784070745,84.0508770069376,75,60,65.0104800111513,86.3387246570696,78.8049586905394,93.8724906235999
67.1517895247034,91.3998897616215,79.8521125414987,80,40,62.3591097787887,90.3061884882264,85.6123769764527,95
55.5382878424891,100,85.2747164942673,80,60,64.5478345496848,89,83,95
88.760828837189,62.9201870268675,86.2779616413566,100,35,64.8327439358661,89,83,95
77.6490244292632,73.9337209960822,86.9374285021067,100,45,66.3972413889913,89,83,95
86.3276990351623,85.1393003374653,74.2585322608828,100,30,63.790027974282,89,83,95
66.1275006034209,53.5943666615243,81.6521219454594,100,55,65.9612857772902,89,83,95
100,88.7736759677547,77.6764263551894,20,30,65,64.2070272867615,61.1347410915793,67.2793134819436
100,31.3922513494633,82.4003695399551,100,55,71.9930973506602,83,83,83
73.1424997458113,70.0334861427739,69.3827783993271,40,65,68.6201945143275,65.5421667310759,55.1631729142504,75.9211605479013
58.3409796740904,47.2277827131073,74.8124019491193,80,55,63.055124021576,78.0520112055962,70.6581598311755,85.445862580017
64.7864117959913,42.108017263389,81.397296250154,100,45,63.3986962343809,81,67,95
75.2125398959646,23.6645144510154,77.8865886469385,100,65,71.7477783937047,83,83,83
74.106740843114,77.4838079316458,75.0221180099831,100,65,70.5374883673866,89,83,95
65.0848347830949,55.8119402962695,84.4032936470249,70,55,65.8737214110804,75.997205146236,69.0929614772595,82.9014488152126
79.5892637260348,77.3562716443366,77.9082415227565,60,45,65.8165971606947,77.5613887694538,69.5148657259331,85.6079118129745
68.8641323131423,36.0209111394461,77.4436568839139,100,75,73.3775929018713,83,83,83
55.7721776567276,48.9916183828595,75.2147856461562,100,35,55.3381196772588,75,67,83
70.7264575580537,67.5334204414188,66.8232668528589,100,35,58.7149720284062,89,83,95
74.0281971616317,86.3757183402267,83.8642705483662,80,55,68.4373239546148,89.8282458660289,84.6564917320577,95
90.0057478325845,50.5137397701336,76.3862524882527,75,85,82.7529403536717,81.9712453777981,72.2194839175717,91.7230068380246
62.9800605253318,72.9373944049009,83.6059087335883,70,50,64.5601216932399,82.5047801424387,74.143130849342,90.8664294355354
76.3770002287768,86.8380232972004,94.8655625880483,85,50,68.7333398929013,90.7894160209107,86.5788320418215,95
79.1070718790655,76.1739308343343,83.9532018952566,85,60,71.9967268308928,89.1850997703997,83.810528725465,94.5596708153345
42.9979866087306,50.1054394652512,80.9065764272932,100,75,64.9920359771674,81,67,95
81.0596592082413,36.9456661833503,77.8458308118505,75,60,70.8260684608251,75.0161106671643,67.5830513230632,82.4491700112654
60.6225088597701,100,80.5704753505457,40,35,58.7593395526733,66.5,50,83
70.1052472220043,66.5519799212887,66.5807618339464,80,15,52.329780965353,80.0942893473325,70.9009039586054,89.2876747360596
100,100,81.1510281639863,100,55,71.7003982950828,95,95,95
98.0861407810878,72.8977083120803,71.0695497023008,10,20,65,56.7448215078905,51.0899000441001,62.3997429716808
87.4051634385765,72.7532287031215,79.7958064309551,100,45,66.6322479913063,89,83,95
72.6061916116852,62.9212896501791,74.4853440725234,85,35,61.9850684734335,82.473102626413,76.6095422477347,88.3366630050914
62.1341737637562,63.7912785917502,76.8882146790247,60,45,61.8756284526532,76.2821409935318,69.0389409676371,83.5253410194265
80.9753094961881,73.5738791277279,79.5058082977207,95,20,62.8532487307007,89,83,95
71.6278673618451,82.0421404740682,87.1187303178916,100,75,77.0926452138671,89,83,95
55.2799853441559,91.3525232125594,74.2189433935414,50,75,67.3863740063763,72.5304346260542,66.7168071599759,78.3440620921325
74.6730470108176,72.9128554429466,80.1038314800676,70,85,79.3554347871814,85.1786585072608,76.7301684860203,93.6271485285013
61.7990948850832,60.8570351074396,77.4217406899753,30,35,58.4285188634616,57.4767358186485,50,64.9534716372971
91.6296070928578,60.041594375972,67.6987091216941,50,45,65.4808768746013,69.1723856977071,60.3192935813803,78.0254778140339
68.0379260859803,83.9030549700776,81.5793968911938,90,35,61.9401405070833,90.8055927945025,86.6111855890049,95
84.9685378707187,62.7509559648574,87.0896977624674,50,35,64.658511265777,69.6141498810833,61.7903892617373,77.4379105004294
67.0479282267275,58.079284803456,80.7282764126594,65,55,66.1708351301004,76.6750746512651,69.9236677088541,83.4264815936761
75.6136399480585,45.2191152725437,75.7080579470353,10,45,65.1469110447713,49.7606638807835,48.0023305367233,51.5189972248437
77.3258086370587,49.081318368896,79.0996817854717,30,50,67.3047469561013,56.403455444191,48.4399996529935,64.3669112353886
70.1837252765648,46.9340061558386,81.9704748836368,60,60,68.2486561711231,70.1557733287237,61.5116032848476,78.7999433725998
100,43.9841198148221,87.2348853806195,100,40,65.525981052488,81,67,95
87.0060983587708,15.4560411387004,82.2466528315921,30,30,64.3921898683892,46.749888028773,39.1440863122512,54.3556897452949
92.9440737654157,76.0681428784727,86.1569674223643,65,40,65.4041006771198,80.5358600172122,72.3492787307043,88.72244130372
100,58.7339962153714,81.8212139034597,85,50,69.7123276323103,83.4147191371109,75.8406824127394,90.9887558614823
80.815725230331,70.9248552588548,90.1469870369948,85,75,81.5313185247887,89.9088779942151,84.8177559884303,95
90.6797730224159,32.800490407673,81.7004741058072,95,40,65.3375478436036,75,67,83
54.4226048502809,100,77.9918539099959,100,10,50.8389838938556,89,83,95
60.6238926655426,77.8087530063676,90.13296722256,90,65,67.4025815489628,89.9221579046043,85.3227303514929,94.5215854577157
34.9659006053904,37.1549766089201,85.3114600644802,50,25,46.6434069077346,55.3619297704241,46.3231869569514,64.4006725838968
62.9597222715162,54.3693202019654,83.9008459447898,55,55,65.2338032395735,71.275871443687,62.7520471305094,79.7996957568646
68.2347608006591,100,78.4678650477703,60,25,59.9610352446952,81,67,95
63.9512768405805,95.5470577768174,81.3026094630282,40,30,59.3433372268664,66.5,50,83
91.7205593326883,61.7009344139822,75.5408550886189,100,20,65,89,83,95
62.1997495459467,80.6474970441632,91.6128892268954,90,40,63.4776405919304,90.466184184692,85.932368369384,95
63.6187221221938,38.1438407016717,75.8193809434123,100,50,63.897286716151,75,67,83
